Examples
"คุยกันเรื่องเงินทีไรหนุเครียดทุกที
แฟนทำงานเอาตธงเหรียญมาให้เรากับลุกใช้นับได้ประมาน500กว่าบาทล่ะก้อบ่่นว่าสิ้นเดือนกับเดือนหน้ามันจะไม่มีตังให้ใช้แล้ว ทั้งๆที่ทุกเดือนมันก้อไม่เคยให้เราใช้เป็นเดือนเลยไม่เคยได้จากมันสักเดือน
500ทุกคนว่าเรายุ่กับลุกต้องใช้วันเท่ารัยคะ

เราท้องด้วย กับข้าวก้อต้องซื้ออะไรหมดก้อต้องซื้อ
ลุกก้อกินนมกินขนมทุกวัน
มันบอกให้ใช้วัน40 หนุจะบ้าตายเครียดมาก
เงินเดือนมันตั้งหมื่นห้าหมื่นหกไม่รุ้เอาตังไปไหนหมดพอให้เมียไม่กี่บาทก็บ่น
ถ้าหนุไม่มีลุกไม่รอขอเงินมันใช้หรอก ความรับผิดชอบต่อครอบครัวก้อไม่มี ทำแต่งานเงินได้มาไม่เคยให้เมียเก็บ ให้วัน40/50มันเกินไป
หนุจะทำไงดี เครียดมากๆ
ถ้าอยุ่แบบนี้อยากจะไปจากเขาเราไม่อยากมีกันแล้วค่ะเบื่อกับความคิดมันเดิมๆนิสัยเดิมๆ
ท้อมากไม่รุ้จะทำยังไง
เราไปอยุ่กับพี่สาวเราน้องเราเขายังห่วงเรามากกว่านี้ไม่เคยถามว่าตังหมดยัง มีกินมีใช้ไหม เงินพอไหม
แต่น้องกับพี่เราจะยื่นตังให้เราใช้ตลอดโดยที่ไม่เคยถามเลย
พอกลับมาหาแฟนก้อเปนแบบนี้เหมือนเดิมปล่อยให้ลุกเมียอดอยากลำบากแต่ตัวเองชอบไปร้ายคาราโอเกะไปเที่ยว กินเหล้าซื้อเหล้ากินแทบทุกวัน"
ขอกำลังใจหน่อยนะคะ😭😭เราอยู่กับสามีมา10ปีมีลูก2คนคนโต 7 ขวบคนเล็ก 2 ขวบ 3 เดือนทำธุรกิจเล็กกันเองอยู่กัน4พ่อแมาลูก..แต่2เดือนงานไม่มีแฟนเราหมุนเงินไม่ทัน..เราก็เป็นกำลังใจให้เขานะคะ..แต่เขากลับโยนความผิดว่าเราใช้เงินเปลื้องมั้งละโง่ไม่มีสมองบ้างละเราเบนท้อมากคะตอนนี้(แฟนบริหารเงินเองทุกอย่างเราจะซื้อจะกินจะใช้เราต้องแบมือขอเงินเขาทีละ 100-200 บาท)ตอนนี้เขาผ่านกับเรามา 2-3 วันผ่านทะเลาะกับเราไม่ซื้อกับข้าวไม่ให้เงินซื้อกับข้าวไม่ให้เงินใช้เราอยากกลับบ้านมากเลยค่ะตอนนี้..เพื่อนๆพี่ๆว่าเรากลับบ้านดีไหมแต่ถ้าเรากลับบ้านเราต้องหอบลูกไปด้วยเงินติดตัวเราไม่มีสักบาทตอนนี้เราไม่รู้จะทำยังไงดีถ้าเราขอให้กู้ภัยไปส่งเขาจะไปส่งเราไหมคะเราอยู่ต่อเรากดดันมากๆอยากตายๆให้มันพ้นๆไปคะ..เราไม่มีญาติไม่มีพี่น้องแถวที่เราอยู่เลยคะ😭😭😭
เราแค่อยากรู้ว่า ครอบครัวคนอื่นเป็นแบบเราไหม เราเหนื่อย จังเลย อยากระบาย คือเริ่มเลยนะ เราอยู่กินกับสามี เรามีลูก 1 คน เราทำงานด้วย เลี้ยงลูกด้วย เลิกงาน 20.30 และตอนนี้ ลูกเราพึ่งได้เข้าเรียน อนุบาล ซึ่ง งานบ้านเราทำเองหมดเลย ไม่ว่าจะ รีดผ้าซักผ้า กวาดบ้าน ล้างจาน รีดผ้าให้ลูกผัวตัวเอง เราทำมันทั้งหมด มีวันหนึ่งเราปวดหัวไมเกรนขึ้น เราเลยไม่ได้รีดผ้าให้เขา เราเลยต้องมารีดเอง เรากับเขาอยู่กินกันมา 7 ปี เราทำให้ทั้งหมด เขามีหน้าที่ แค่กินข้าว นอกนั้นเราทำให้หมดเลย เขาบ่นว่า เขาต้องมารีดผ้าเองเลยหรอ เรารู้สึกว่า เราก็ทำงาน คุณก็ทำงาน ทำไมงานบ้าน หรือเลี้ยงลูกทำไมเราต้องรับผิดชอบเองทั้งหมด ทำไมไม่ช่วยกันบ้าง ส่วนเงินเขาเราไม้ได้ใช้นะคะ เราใช้เงินเรา เพราะเราก็ทำงาน เราซื้อทุกอย่างเงินเรา ของใช้ในบ้าน ของลูก ส่วนเงินเขาเขาบอกเอาไปเติมน้ำมันรถตู้เขาซื้อรถตู้ 2 คัน เขาบอกว่าต้องใช้เงินเติมน้ำมันและจ้างลูกน้อง ส่วนเรามีรถแจสคันนึง เอาไว้รับส่งลูก ที่ โรงเรียน และเอามาทำงาน บางเดือนเขาก็มาเอาเงินกับเราบอกไม่พอในการเติมน้ำมัน เรารู้สึกว่า เงินเขาเราก็ไม่ได้ใช้มาเอากับเราอีก พอเราพูดก็ทะเลาะกัน เราเป็นคนไม่ค่อยพูด เราพูดอะไรเขาก็ว่าแต่เขาถูก เราเหนื่อย และล่าสุด เราเอารูปคู่ส่งให้เขาดู เราถ่ายกับเขานั่นแหละ 7 ปีที่ แล้ว คือเฟสมันเด้งขึ้นมา เราเลยแคบให้เขาดูว่า พี่ดูสิ 7 ปีแล้วเน๊าะที่เราอยู่กันมา สู้กันมา เขาก็มาว่าเราว่าเราไปเอากับใคร ไปถ่ายรูปกับใคร ไปเอากันแล้วส่งมาให้เขาดู ทำไม เราบอกภาพคู่เราไง ตอนคบกันแรกๆ ไง เขาก็ว่าไม่ใช่เขา หาเรื่องทะเลาะกับเรา ภาพนั้นเป็นภาพที่เพื่อนเราถ่ายให้เราสองคนกับสามี ขนาดถามเพื่อน เพื่อนก็ยังบอกใช่ เพราะเขาเป็นคนถ่ายรูปให้เอง เราคิดไปเองไหมว่า เขาหาเรื่องเรา แต่เขาจำตัวเองอยู่แต่แกล้ง ว่าจำไม่ได้ แต่ก่อนเขาผอม ตอนนี้เขาอวบๆหน่อย แต่ช่วงนี้เขากำลังออกกำลังกาย หุ่นเริ่มดีขึ้น และเหมือนหันมาดูแลตัวเอง แบบผิดสังเกตเหมือนเขากำลังชอบสาวเลย เพราะดูจากการโพสเขามักจะโพสประมาณว่า มีที่พักพิงใจรึยังถ้ายังไม่มีมาพักที่ใจเราก็ได้นะ  และโพสอีกข้อความว่า ถ้าหุ่นมากลับมาดีแล้วอย่ามาง้อละกันคอยดู  เราว่าเขาแบบชอบสาวไหม รึว่าเราคิดมากไป
ตอนนี้ดิ่งมาก เป็นหัวหน้าครอบครัว หาเลี้ยงคนทั้งบ้าน 6 คน พ่อแม่ลูกแฟน รายจ่ายต่างๆ พึ่งโดนค่าซ่อมรถของแฟนเมื่อปลายปีไปอีกสองแสนกว่า ดิ้นรนทุกวิธีทาง แฟนก็มาจับผิดอีก ออกบ้านโพสด่าตามหลังเลย ทำอะไรไม่ได้เลย รู้สึกอยากไปให้พ้นๆ โลกนี้แต่ ห่วงคนข้างหลังไม่รู้จะทำไงตอนนี้มือสั่นขาสั่นใจสั่นปวดหัว มาก กินยาไปแล้ว ยังไม่ดีขึ้น เราคงไม่มีวันหายถ้ายังเจอแบบนี้อีก แค่แบกรับคนเดียวก็เหนื่อยมากแล้วเจอสภาพกดดันอีก ยาเท่านั้นที่ช่วยทำให้รอดไปวันๆ ท้อคะ
เราอยากจะปรึกษาค่ะ คือเรากะแฟนไม่ได้อยู่ด้วยกัน เรามีลูกด้วยกัน2คน แล้วแฟนเรานะไปขายของตามงานค่ะ เป็นลูกน้องเขา ไปทำก็ได้ค่าแรงวันละ300กินอยู่กะเขาค่ะ แล้วเขาจะส่งให้เราวันละ200 เขาใช่100 แล้วพอไปเขาก็เกิดป่วยค่ะ ขาเขาบวม เดินไม่ได้ ไม่ได้ทำงานก็ส่งผลกระทบมาถึงเราด้วยค่ะคือลูกเราคนโตต้องไปเรียน ก็ตัองหยุดค่ะไม่มีเงินให้ไปเรียน ส่วนคนเล็กก็ไม่มีนมกินค่ะ เราก็ไม่รู้จะทำยังไงค่ะ ทางครอบครัวแฟนก็ไม่เคยให้ความช่วยเหลืออะไรค่ะ ส่วนทางครอบครัวเราก็ต่างคนต่างอยู่ คือตอนนี้เรารู้สึกแย่มากค่ะ พอแฟนทำงานไม่ได้แฟนก็จะให้แต่เราหาเงินส่งให้เขาค่ะ เราก็ไปทำงานไม่ได้เพราะไม่มีคนดูลูกให้ค่ะ เดียวให้เติมเน็ตบ้าง เดียวไม่มีอะไรกินบ้าง ทั้งๆที่กินอยู่กะเขาที่ทำงานค่ะ คือเราไม่เข้าใจเขาค่ะเขาก็ว่าเราไปขายตัวบ้างอะไรบ้างสาระพัดที่จะพูดค่ะ เรากะลูกนี้สิค่ะ ที่แย่ ตอนนี้และตอนนี้คิดอะไรไม่ออกเลยค่ะ เราเป็นไข้ด้วยแต่เราก็ต้องดูแลลูกเพราะคนเล็กพึ่ง2ขวบอยู่เลยค่ะ
เบื่อผัวมากเลยค่ะไม่อยาก4กับผัวเลยสาเหตุเพราะผัวให้เราทำให้เค้าทุกอย่างย้ำว่าทุกอย่างแต่เค้าไม่ทำอะไรให้เราสักอย่างเราเป็นคนขึ้นให้เค้าจนเสร้จแต่เราไม่เคยเสร้จทุกคั้งที่4เค้าจะนอนเฉยๆให้เราทำทุกครั้งไม่เคยมีท่าแปลกให่มนอนให้เราทำอย่างเดียว.เคยคุยแบบตรงๆไปแล้วหลายครั้งก็ยังเหมือนเดิมค่ะเบื่อเครียดไม่เสร็จ.
เหนื่อยค่ะ เบื่อชีวิต เราอายุ32แฟนเราอายุ36เรายังมีอารมณ์ปกติทั่วไปค่ะ พอเวลาเรามีอารมณ์ เราต้องขอเเฟนค่ะ อาทิตย์เราจะได้ครั้งหนึ่งบ้างที3อาทิตย์เราขอเขาครั้งหนึ่ง เขาก็ให้เรานะ เเต่เราต้องทำเอง ตอนนี้เราเหมือนขอทานอะ เเฟนเราเอาเเต่กินน้ำกระท่อม นอนดูโทรสัพ หลังจากทำงานเสร็จ บ้านเราจะทำงานกันเเค่3/4ชม. เป็นงานในทะเล งานที่บ้านเอง เลยไม่ค่อยเหนื่อย เเต่เช้ามาเเฟนเรากินน้ำกระท่อมทั้งวัน เอาง่ายๆไปทะเลทำงานยังเอาไปกิน เรามีลูกด้วยกัน1คน เเต่เวลาเขามีอารมณ์ ของเขาเเข็งเขาเสียบเลย นมไม่ดูดว่าง่าย ๆตรงน้องสาวเราดูเเลดีมากกลิ่นไม่มีขนไม่มี เขาไม่เคยเลี..ให้เลย คือเวลาอยากคือเสียบเลย ดึงเข้าดึงออก5/6ครั้งก็เสร็จ ของเขาใหญ่เเค่42เองเราก็ไม่เคยคิดนอกใจเลย เเต่ตอนนี้กลายเป็นเราต้องช่วยตัวเองตลอด จนเราไม่อยากมีเเล้วผัว อยากอยู่กับลูกเเค่นั้น  นึกไปนึกมาก็น้อยใจเนอะ มีผัวเเต่ต้องใช้นิ้วตัวเอง ต้องจินตนาการว่ารสสัมผัสเวลาใช้ลิ้นเป็นยังไง เเต่ตอนนี้เราตายด้านเเล้วค่ะ อาบน้ำ ช่วยตัวเองนอนกับลูก ส่วนผัวเหรอ กินน้ำกระท่อมดูโทรสัพ นอนดึกตื่นสาย ปกติเขาละ จะทิ้งก็ห่วงลูกมาก เอาลูกไปก็ลำบาก อยู่กับมันนี้ละค่ะ เงี่ย..ก็ช่วยตัวเอง ใครพอรู้จักยาที่ทำให้มันมีอารมณ์บ้างค่ะ ช่วยบอกเอาบุญหน่อยค่ะ
คบกับผช.คนหนึ่ง ตกลงคบแบบเพื่อนนอนแอบแซ่บ เขาโสดเราโสด เขาเจ้าชู้ค่ะมีผญ.เยอะมาก เราไม่ก้าวก่ายเรื่องส่วนตัว เขาก็ไม่เคยยุ่งเรื่องของเรา เขาบอกว่าเราไปมีแฟนได้ แต่เรายังไม่พร้อมมีใคร สบายใจที่คบเขาแบบนี้ แรกๆเขากลัวเรามีลูกกลัวท้องมาก ถ้าไม่กินยาคุมหรือใส่ถุงจะไม่ยอมมีอะไรด้วย หลังๆมาเขางี่เง่ามากค่ะ ชอบคิดว่าเรามีคนอื่นไปนอนกับคนอื่น หาเรื่องทะเลาะทุกครั้ง แต่เขาไม่ยอมเลิกกับเราค่ะ แล้วช่วงนี้เราไม่ได้กินยาคุมและอยากคุมด้วยวิธีอื่น เรายังไม่พร้อมมีลูกค่ะ และเราไม่ได้เป็นแฟนกัน เราปรึกษาเขาเรื่องนี้ แล้วโกรธเราไม่พอใจเราที่เราบอกว่าไม่พร้อมมีลูก ประชดต่างๆนาๆ อยากทราบว่าแบบนี้คืออะไร เขาคิดเกินเลยกับเราหรอคะ แต่เขาก็มีคนอื่นด้วย ถ้าเขาจะจริงจังกับเรา เราไม่พร้อมค่ะเพราะเขาเจ้าชู้มาก
"มีเรื่องกลุ้มใจเกี่ยวกับเรื่องบนเตียงกับแฟนอะค่ะ
- โดนพื้นฐานเเล้ว เรากับแฟนมีความต้องการทางเพศพอๆกัน แต่ว่ามันจะมีบางอย่างที่แฟนขอให้เราทำเวลามีอะไรกัน 

ถ้าอันไหนทำได้เราพร้อมจัดเต็ม แต่มีบางข้อที่เราไม่โอเค คือ 

1. แฟนขอประตูหลัง เราลองนะแต่มันเจ็บถึงจะใส่เจลเเล้ว เลยลองแค่นิ้วก็รู้สึกปวดอึไม่ได้เสียว
2. ชอบให้เล่าเรื่องตอนมีอะไรกับคนอื่น คือเค้าเปนคนแรกของเรา เราก็ไม่มีประสบการณ์
3. จากข้อ2 เวลาทำกันอยู่ เค้าชอบบอกให้ลองไปมีกับผช.อื่น แต่ตอนทำเค้าขออยู่ดูด้วย เราก็ไม่กล้า
4.  ล่าสุดคือขอถ่ายคลิป-ถ่ายรูปตอนมีอะไรกัน อันนี้เราก็กลัวหลุดอีก

อยากปรึกษาว่า เราเยอะสิ่งไปไหมคะ เหมือนเรากลัวไปส่ะทุกอย่าง แต่ทุกข้อที่ว่าคือเค้าทำกับแฟนเก่าเค้าได้หมด 

คุณผู้หญิง ถ้าเจอแบบนี้รับได้กันกี่ข้อคะ หรือคุณผช. มีอะไรอยากสอนหรือบอกเรา เราพร้อมรับฟังค่ะ 

คิดว่าเรื่องsexก็สำคัญกับชีวิตคู่ ตอนนี้เราไม่ยอมทำเค้ายังไม่ได้ว่าอะไร แต่คิดว่าอนาคตสุดท้ายเป็นปัญหาแน่ๆ

ปล. ตลอดที่คบกันไม่มีปัญหาเรื่องอื่นเลย มีแต่เรื่องนี้อะค่ะที่เรากลุ้มใจ งดแชร์ลงสาธารณะหรือกลุ่มอื่นๆนะคะ ขอบคุณทุกคนค่ะ"
"แม่กับแฟนไม่ถูกกันทำไงดีครับ
คือแบบเวลาลงอะไรหรือรูปอะไรที่เกี่ยวกับแฟนแม่มักจะตามมาด่าอยู่ตลอดควรทำไงดีครับ"
